game_n,winner,turn_outcome
100,0,"(1, 0, 0, 1, 0, 2, 2, 1, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 2, 1, 0, 0, 2, 0, 1, 2, 2, 1, 1)"
101,3,"(0, 1, 2, 2, 0, 1, 1, 1, 0, 2, 1, 2, 1, 0, 0, 2, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 1, 1, 1, 0, 2, 1)"
102,0,"(0, 1, 0, 1, 1, 0, 2, 1, 1, 0, 1, 0, 1, 1, 0, 2, 1, 1, 1, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1)"
103,0,"(1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 2, 0, 2, 2, 1, 0, 1, 1, 0, 2, 2, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 1, 2, 2, 2, 0, 1, 2, 1)"
104,1,"(1, 1, 0, 0, 1, 1, 0, 2, 2, 1, 0, 0, 0, 1, 0, 0, 2, 2, 2, 1, 2, 1, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 2, 0, 1, 0, 0, 2, 0, 0, 1)"
105,,"(1, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 0, 0, 1, 0, 1, 1, 1, 1, 2, 1, 0, 0, 0, 1, 0, 2, 2, 1, 2, 1)"
106,3,"(1, 0, 0, 2, 0, 1, 2, 2, 2, 0, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 2, 0, 2, 0, 1, 1, 2, 0, 1)"
107,,"(0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 0, 2, 1, 0, 2, 2, 1, 2, 0, 0, 2, 0, 1, 0, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 2, 2, 2, 0, 2, 0, 0, 0, 1, 1, 2, 0, 0, 2, 0, 0, 0, 1, 1)"
108,1,"(1, 1, 1, 2, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 2, 0, 1, 1, 2, 0, 2, 0, 1, 2, 2, 2, 0, 1, 1, 2, 2, 0, 1, 2, 0, 1)"
109,3,"(1, 0, 1, 1, 1, 2, 1, 2, 2, 2, 1, 0, 2, 0, 1, 2, 1, 0, 2, 2, 0, 0, 0, 1, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 1, 0, 0, 0, 0, 1, 1, 0, 1, 2, 1)"
